VER,EDATE,BIRD,ADATE,STIMEU,STIMEQ,DUR,STIMEL,ORBIT,NS,LAT,LATQ,EW,LON,LONQ,ALT,ATYPE,ADIAG,ACOMMENT,SVE,SPIN
5,6/17/1988,@PN0303,12/20/1985,0806,0,0,0014,G,N,0,0,W,118,0,35784,PF,UNK,TWTA 3V HV TRIP-OFF,0,
5,6/17/1988,@PN0303,12/21/1985,0628,0,0,2236,G,N,0,0,W,118,0,35784,PF,UNK,CTR 2 N/S Bias Circuit Failed,0,
5,12/11/1986,@PN0303,1/3/1986,1405,0,0,0613,G,N,0,0,W,118,0,35784,PC,ESD,ENCODER 2 SUBCOM SWITCH TO DWELL,0,
5,6/17/1988,@PN0303,1/21/1986,0124,0,0,1732,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,1/25/1986,0355,0,0,2003,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,1/30/1986,2224,0,0,1432,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,2/4/1986,0244,0,0,1852,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,2/7/1986,2133,0,0,1341,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,2/9/1986,2222,0,0,1430,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,2/11/1986,0002,0,0,1610,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,2/11/1986,0029,0,0,1637,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,2/12/1986,1227,0,0,0435,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,12/11/1986,@PN0303,2/15/1986,0335,0,0,1943,G,N,0,0,W,118,0,35784,PC,ESD,SPIN ENCODER 2 MODE SWITCH,0,
5,6/17/1988,@PN0303,3/4/1986,2021,0,0,1229,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,3/7/1986,1858,0,0,1106,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,3/10/1986,2326,0,0,1534,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,3/15/1986,0714,0,0,2322,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,3/22/1986,0706,0,0,2314,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
