STIMEU,DUR,LAT,LON,ALT,ATYPE,SVE,AYEAR,AMONTH,ADAY
2138.0,0,0,259,35784,UNK,0.0,1987,9,19
2321.0,0,0,259,35784,SE,0.0,1987,10,2
504.0,412,0,122,35784,SE,0.0,1987,2,11
656.0,454,0,101,35784,SE,0.0,1987,3,3
1241.0,604,0,100,35784,SE,0.0,1987,5,10
1015.0,580,0,101,35784,SE,0.0,1987,6,12
1240.0,655,0,101,35784,SE,0.0,1987,6,20
1102.0,0,0,279,35784,SE,85.0,1987,11,2
1649.0,0,0,279,35784,UNK,0.0,1987,8,18
2130.0,0,0,217,35784,SE,168.0,1988,10,13
204.0,0,0,217,35784,UNK,111.0,1988,10,28
1908.0,0,0,221,35784,UNK,146.0,1989,8,6
1216.0,0,0,278,35784,UNK,0.0,1989,10,12
200.0,0,0,217,35784,UNK,113.0,1989,2,9
2316.0,0,0,217,35784,UNK,147.0,1989,7,4
1325.0,0,0,275,35784,SE,114.0,1988,5,12
1649.0,0,0,279,35784,UNK,0.0,1987,8,18
1721.0,0,0,279,35784,SE,161.0,1988,5,3
139.0,0,0,279,35784,SE,58.0,1988,5,7
1338.0,0,0,288,35784,SE,131.0,1988,8,7
1700.0,0,0,0,35784,PC,0.0,1978,9,9
200.0,0,0,0,35784,PC,0.0,1981,4,4
1200.0,0,0,0,35784,PC,0.0,1981,7,27
1100.0,0,0,0,35784,UNK,0.0,1981,10,12
1600.0,0,0,0,35784,PF,0.0,1981,9,26
1600.0,0,0,0,35784,SE,0.0,1982,4,4
1400.0,0,0,0,35784,SE,0.0,1982,9,3
400.0,0,0,0,35784,PF,0.0,1983,1,31
1300.0,0,0,0,35784,SE,0.0,1983,4,21
1300.0,0,0,0,35784,UNK,0.0,1983,5,21
119.0,0,0,140,35784,SE,0.0,1984,9,3
2314.0,0,0,140,35784,PC,0.0,1984,12,15
227.0,0,0,140,35784,PC,0.0,1984,12,29
742.0,0,0,140,35784,SE,0.0,1985,3,1
42.0,0,0,140,35784,PC,0.0,1985,3,9
526.0,0,0,140,35784,PC,0.0,1985,4,6
1411.0,0,0,140,35784,PC,0.0,1985,6,14
2336.0,0,0,140,35784,SE,0.0,1985,7,7
1631.0,0,0,140,35784,PC,0.0,1985,7,10
552.0,0,0,140,35784,PC,0.0,1985,8,1
509.0,0,0,140,35784,SE,0.0,1985,8,5
1848.0,0,0,140,35784,UNK,0.0,1985,8,16
2140.0,0,0,140,35784,UNK,0.0,1985,8,29
944.0,0,0,140,35784,UNK,0.0,1985,9,24
827.0,0,0,140,35784,UNK,0.0,1985,9,27
240.0,0,0,140,35784,UNK,0.0,1985,9,28
942.0,0,0,140,35784,UNK,0.0,1985,10,7
110.0,0,0,140,35784,UNK,0.0,1985,10,11
625.0,0,0,140,35784,UNK,0.0,1986,1,26
18.0,0,0,140,35784,UNK,0.0,1986,2,9
